route,date,daytype,rides
3,01/01/2001,U,7354
4,01/01/2001,U,9288
6,01/01/2001,U,6048
8,01/01/2001,U,6309
9,01/01/2001,U,11207
10,01/01/2001,U,385
11,01/01/2001,U,610
12,01/01/2001,U,3678
18,01/01/2001,U,375
20,01/01/2001,U,7096
21,01/01/2001,U,3454
22,01/01/2001,U,7877
27,01/01/2001,U,1903
28,01/01/2001,U,5462
29,01/01/2001,U,9303
30,01/01/2001,U,600
34,01/01/2001,U,3541
35,01/01/2001,U,1526
36,01/01/2001,U,7044
43,01/01/2001,U,311
44,01/01/2001,U,1463
47,01/01/2001,U,2676
49,01/01/2001,U,11829
50,01/01/2001,U,1832
51,01/01/2001,U,1752
52,01/01/2001,U,4061
53,01/01/2001,U,8058
54,01/01/2001,U,4675
55,01/01/2001,U,5805
56,01/01/2001,U,5461
57,01/01/2001,U,541
60,01/01/2001,U,4803
62,01/01/2001,U,4355
63,01/01/2001,U,8995
65,01/01/2001,U,1571
66,01/01/2001,U,7900
67,01/01/2001,U,6189
68,01/01/2001,U,221
70,01/01/2001,U,4295
71,01/01/2001,U,2522
72,01/01/2001,U,5128
73,01/01/2001,U,923
74,01/01/2001,U,4099
75,01/01/2001,U,2484
76,01/01/2001,U,3071
77,01/01/2001,U,7087
78,01/01/2001,U,2353
79,01/01/2001,U,14683
80,01/01/2001,U,3966
81,01/01/2001,U,5726
82,01/01/2001,U,5812
84,01/01/2001,U,843
85,01/01/2001,U,4143
87,01/01/2001,U,4577
88,01/01/2001,U,408
90,01/01/2001,U,819
91,01/01/2001,U,1870
92,01/01/2001,U,1694
94,01/01/2001,U,2540
97,01/01/2001,U,945
103,01/01/2001,U,869
106,01/01/2001,U,326
111,01/01/2001,U,1507
112,01/01/2001,U,713
119,01/01/2001,U,2159
126,01/01/2001,U,2689
145,01/01/2001,U,1379
146,01/01/2001,U,2191
151,01/01/2001,U,9882
152,01/01/2001,U,1734
155,01/01/2001,U,2540
171,01/01/2001,U,15
172,01/01/2001,U,2
173,01/01/2001,U,69
201,01/01/2001,U,186
49B,01/01/2001,U,1571
52A,01/01/2001,U,1451
53A,01/01/2001,U,1104
54B,01/01/2001,U,1640
63W,01/01/2001,U,316
81W,01/01/2001,U,200
8A,01/01/2001,U,1008
95E,01/01/2001,U,3418
95W,01/01/2001,U,2201
X21,01/01/2001,U,723
1,01/02/2001,W,5813
2,01/02/2001,W,629
3,01/02/2001,W,16697
4,01/02/2001,W,19000
6,01/02/2001,W,15904
7,01/02/2001,W,4268
8,01/02/2001,W,14915
9,01/02/2001,W,24797
11,01/02/2001,W,3140
12,01/02/2001,W,8605
14,01/02/2001,W,6497
17,01/02/2001,W,376
18,01/02/2001,W,1523
19,01/02/2001,W,456
20,01/02/2001,W,17914
21,01/02/2001,W,6535
22,01/02/2001,W,19558
24,01/02/2001,W,2989
